date,label,artist,actual_name,monthly_listeners,url
2023-12-18,HYBE,BOYNEXTDOOR,,951000.0,
2023-12-18,HYBE,BTS,,31096000.0,
2023-12-18,HYBE,ENHYPEN,,9819000.0,
2023-12-18,HYBE,Jungkook,,37244000.0,
2023-12-18,HYBE,LE SSERAFIM,,12803000.0,
2023-12-18,HYBE,NewJeans,,21140000.0,
2023-12-18,HYBE,SEVENTEEN,,6997000.0,
2023-12-18,HYBE,TXT,,10092000.0,
2023-12-18,JYP,NMIXX,,4067000.0,
2023-12-18,JYP,Stray Kids,,9887000.0,
2023-12-18,JYP,TWICE,,10180000.0,
2023-12-18,SM,NCT 127,,4547000.0,
2023-12-18,SM,NCT DREAM,,4649000.0,
2023-12-18,SM,RIIZE,,2700000.0,
2023-12-18,SM,aespa,,9730000.0,
2023-12-18,YG,BABYMONSTER,,3274000.0,
2023-12-18,YG,TREASURE,,3228000.0,
2023-12-25,HYBE,BOYNEXTDOOR,,965000.0,
2023-12-25,HYBE,BTS,,31047000.0,
2023-12-25,HYBE,ENHYPEN,,9549000.0,
2023-12-25,HYBE,Jungkook,,36633000.0,
2023-12-25,HYBE,LE SSERAFIM,,12814000.0,
2023-12-25,HYBE,NewJeans,,21182000.0,
2023-12-25,HYBE,SEVENTEEN,,7011000.0,
2023-12-25,HYBE,TXT,,10118000.0,
2023-12-25,JYP,NMIXX,,4361000.0,
2023-12-25,JYP,Stray Kids,,9678000.0,
2023-12-25,JYP,TWICE,,10308000.0,
2023-12-25,SM,NCT 127,,4547000.0,
2023-12-25,SM,NCT DREAM,,4649000.0,
2023-12-25,SM,RIIZE,,2747000.0,
2023-12-25,SM,aespa,,9730000.0,
2023-12-25,YG,BABYMONSTER,,4203000.0,
2023-12-25,YG,TREASURE,,3192000.0,
2024-01-01,HYBE,BOYNEXTDOOR,,969000.0,
2024-01-01,HYBE,BTS,,30775000.0,
2024-01-01,HYBE,ENHYPEN,,9212000.0,
2024-01-01,HYBE,Jungkook,,36070000.0,
2024-01-01,HYBE,LE SSERAFIM,,12784000.0,
2024-01-01,HYBE,NewJeans,,21125000.0,
2024-01-01,HYBE,SEVENTEEN,,7014000.0,
2024-01-01,HYBE,TXT,,10049000.0,
2024-01-01,JYP,NMIXX,,4526000.0,
2024-01-01,JYP,Stray Kids,,9560000.0,
2024-01-01,JYP,TWICE,,10363000.0,
2024-01-01,SM,NCT 127,,4547000.0,
2024-01-01,SM,NCT DREAM,,4649000.0,
2024-01-01,SM,RIIZE,,2751000.0,
2024-01-01,SM,aespa,,9730000.0,
2024-01-01,YG,BABYMONSTER,,4595000.0,
2024-01-01,YG,TREASURE,,3130000.0,
2024-01-08,HYBE,BOYNEXTDOOR,,965000.0,
2024-01-08,HYBE,BTS,,30771000.0,
2024-01-08,HYBE,ENHYPEN,,9115000.0,
2024-01-08,HYBE,Jungkook,,36200000.0,
2024-01-08,HYBE,LE SSERAFIM,,12919000.0,
2024-01-08,HYBE,NewJeans,,21207000.0,
2024-01-08,HYBE,SEVENTEEN,,7072000.0,
2024-01-08,HYBE,TXT,,9957000.0,
2024-01-08,JYP,NMIXX,,4530000.0,
2024-01-08,JYP,Stray Kids,,9494000.0,
2024-01-08,JYP,TWICE,,10289000.0,
2024-01-08,SM,NCT 127,,4547000.0,
2024-01-08,SM,NCT DREAM,,4649000.0,
2024-01-08,SM,RIIZE,,2789000.0,
2024-01-08,SM,aespa,,9730000.0,
2024-01-08,YG,BABYMONSTER,,4671000.0,
2024-01-08,YG,TREASURE,,3082000.0,
